受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
Q2726005963,2026-05-06,2026-05-08,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,66649ER ,パジャマ,N9製品、白シックテープ、ブラック本体、ブラックリブ,しまむら,合格,合格,,
Q2726005965,2026-05-06,2026-05-08,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,66649JR ,パジャマ,63製品、白シックテープ、イエローリブ、ネイビー本体,しまむら,合格,合格,,
Q2726005960,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9S6214R ,サニタリーショーツ,N9製品、N9身生地、チャコール
ゴム部分,しまむら,合格,合格,,
Q2726005768,2026-05-06,2026-05-08,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,Z5636UA ,T SHIRT,N8,しまむら,,合格,,
Q2726005958,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9S6249R ,ショーツ,N9ブラック本体、N9ブラック製品、N9ブラックゴム,しまむら,合格,合格,,
Q2726005969,2026-05-06,2026-05-08,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,306308R ,パジャマ,03製品、67製品、白シックテープ,しまむら,,合格,,
Q2726006075,2026-05-06,2026-05-09,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,Z0631ZR ,福袋,14(5)、N2(2)、N9(1)、N9(3)、N9(4)、黒天竺本体、黒紐、黒裏毛本体、黒リブ,しまむら,合格,合格,,
61026009560,2026-05-06,2026-05-08,南通泰&#23572;佳&#38024;&#32455;制衣有限公司,岡山,,右手　カジュアル部,C6630WR ,,67ネイビー、N9ブラック,しまむら,合格,,,
61026009583,2026-05-06,2026-05-08,祥安服装如&#19996;有限公司,岡山,,平松,TW649WR ,パーマー鹿の子 半袖V首,製品,しまむら,,合格,,
Q2726006073,2026-05-06,2026-05-09,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,Z0630ZR ,福袋,14(5)、N0(1)、N2(4)、N9(2)、N9(3)、N9(3)本体、黒刺繍、黒紐、オートミール紐,しまむら,合格,合格,,
61026009557,2026-05-06,2026-05-08,祥安服装如&#19996;有限公司,岡山,,平松,B2615SR ,Eベアメッシュ切替,N7チャコール別布、N7チャコール本体、N9ブラック別布、N9ブラック本体、製品N7チャコール、製品N9ブラック、ホワイトゴム,しまむら,,合格,,
61026009607,2026-05-06,2026-05-08,祥安服装如&#19996;有限公司,岡山,,平松,WW646UR ,UPレノマサキゾメTR,67ネイビー、69コン、N7チャコール、N9ブラック、ネーム,しまむら,合格,合格,,
61026009603,2026-05-06,2026-05-08,如皋帝晨服&#39280;有限公司,岡山,,伊藤,246218R ,パジャマ,N3グレー、N9ブラック本体、N9ブラックリブ,しまむら,合格,合格,,
61026009517,2026-05-06,2026-05-08,祥安服装如&#19996;有限公司,岡山,,平松,BW621EQ ,MLB 紳士2Pボクサー,N9ブラック本体、製品N8クロ、製品N9ブラック、ネイビーゴム、ブラックゴム、ブラウンゴム、ブルーゴム,しまむら,合格,合格,,
61026009600,2026-05-06,2026-05-08,祥安服装如&#19996;有限公司,岡山,,平松,TW648WR ,,製品,しまむら,,合格,,
61026009587,2026-05-06,2026-05-08,祥安服装如&#19996;有限公司,岡山,,平松,B2617SR ,,63サックス、N9ブラック、グレーゴム、ブラック本体,しまむら,合格,合格,,
Q2726006027,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9H6269R ,スタンダードショーツ,ブラック
身生地、ブラック
ゴム部分、ブラック中
製品、ブラック右
製品、ブラック左
製品,しまむら,合格,合格,,
Q2726006029,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9H620CR ,スタンダードショーツ,ブラック
身生地、ブラック×
ピンク製品、ブラック×
ブルー製品、ブラック×
ベージュ製品、ベージュゴム,しまむら,合格,合格,,
Q2726006025,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,925500R-1 ,ショーツ,紫総柄本体、紫裏天竺、紫リボン、紫レース、ピンク リボン、ピンク本体、ピンク裏天竺,しまむら,合格,,,
Q2726006023,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9S623MR/9H6279R ,ショーツ,黒ウサギ総柄
9S623MR、アイボリー総柄
9H6279R、アイボリーバインダー
9H6279R,しまむら,合格,,,
Q2726006017,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9S621CR ,ショーツ,N9ブラック本体、N9ブラック製品、N9ブラックゴム,しまむら,合格,合格,,
Q2726006019,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9S6259R ,ショーツ,N9ブラック本体、N9ブラック製品、N9ブラックゴム,しまむら,合格,合格,,
Q2726006021,2026-05-06,2026-05-08,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9S622QR ,サニタリーショーツ,N9本体、N9製品,しまむら,合格,合格,,
Q2726006033,2026-05-06,2026-05-08,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9N62GHR/9N62RHR/9N62JHR ,生地,10本体
9N62JHR、10本体、10レース
9N62GHR、10レース
9N62RHR、67本体、67ゴム
9N62RHR、67メッシュ
9N62RHR、67レース
9N62RHR、N7本体、N7ゴム
9N62GHR、N7メッシュ
9N62GHR、N7レース
9N62GHR、N9本体
9N62JHR、N9本体、N9レース
9N62GHR、N9レース
9N62RHR,しまむら,合格,,,
Q2726006031,2026-05-06,2026-05-09,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9K6284R ,ハーフトップ,10製品、N9製品、白ゴム、黒本体、黒肩ゴム、黒ゴム、オフ肩ゴム,しまむら,合格,合格,,
Q2726006045,2026-05-06,2026-05-08,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),キッズカジュアル,,キッズカジュアル,R563EPZ ,半袖Tシャツ,13、35、54、55,しまむら,,合格,,
Q2726006047,2026-05-06,2026-05-11,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),レディ－スカジュアル,,レディ-スカジュアル,A4637ZR ,生地,67本体、67紐、67リブ、N9刺繍、N9本体、N9紐、N9リブ,しまむら,合格,,,
