受付番号,受付日,発行日,依頼者名,部,課,担当者,品番,品名,色,試験基準,製品検査,生地検査,付属,ロット
61026007160,2026-04-03,2026-04-08,如皋帝晨服&#39280;有限公司,岡山,,伊藤,216311R/GHE-630M/GHE-630R ,,67ネイビー天竺無地、67ネイビーリブ、ネイビーテープ,しまむら,合格,,,
50126000016,2026-04-02,2026-04-06,株式会社カイタックファミリー,戦略開発課,,長崎,126370R ,パジャマ,67ネイビー、パイピング,しまむら,合格,合格,,
Q2726004770,2026-04-02,2026-04-07,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,406428R ,パジャマ,N7本体、N7製品、白シックテープ,しまむら,合格,合格,,
Q2726004804,2026-04-02,2026-04-07,青&#23707;伊美瑛国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,Y563CRR ,Tシャツ,63製品、白刺繍、黒刺繍,しまむら,合格,合格,,
Q2726004648,2026-04-02,2026-04-07,青&#23707;裕?佳商&#36152;有限公司,ライフグッズ,,ライフグッズ,1Z6071B ,マルチクールマット,14製品、63本体、63製品,しまむら,,合格,,
Q2726004576,2026-04-02,2026-04-07,青&#23707;依美&#26102;尚国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A4626PR ,ロングパンツ,N9ブラック本体、N9ブラック製品、生成
シックテープ、白刺繍,しまむら,合格,合格,,
Q2726004743,2026-04-02,2026-04-08,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,6P639UR/6T639UR/6X638UR/6X639UR/6F639UR ,生地,63表、63裏、N3表、N3裏,しまむら,合格,,,
Q2726004746,2026-04-02,2026-04-07,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,婦人アンダ－ウェア,,婦人アンダ-ウェア,9M62HHR ,生地,13、N3、N9,しまむら,合格,,,
Q2726004748,2026-04-02,2026-04-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5633WR ,半袖T,N0ホワイト,しまむら,,合格,,
Q2726004750,2026-04-02,2026-04-08,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,C5634WR ,半袖T,N9ブラック,しまむら,,合格,,
Q2726004642,2026-04-02,2026-04-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,66636JR/666320R ,パジャマ,60-1、63-9,しまむら,合格,,,
61026007053,2026-04-02,2026-04-07,上海涵浚?&#19994;有限公司,岡山,,小野寺,2828446（1Z622DA） ,生地(メガネケース),83パープル眼鏡布、83パープル表面上段、83パープル表面下段、N3グレー眼鏡布、N3グレー表面上段、N3グレー表面下段,しまむら,合格,,,
61026007041,2026-04-02,2026-04-07,上海涵浚?&#19994;有限公司,岡山,,小野寺,2828445(1Z621DA) ,,グリーン、グレー、チャコール眼鏡拭き、チャコールグレー、ミントグリーン、ワイン眼鏡拭き,しまむら,合格,,,
61026007074,2026-04-02,2026-04-07,南通?川服飾有限公司,,,,R4633PZ R563CPZ ,,14-0848イエロー刺繍糸、14-4203グレー刺繍糸、15-1119ベージュ刺繍糸、15-4225サックス刺繍糸、17-4139ブルー刺繍糸、18-0104アイボリー刺繍糸、18-1550赤刺繍糸、19-3864ブルー刺繍糸、67ネイビー裏毛、YKK501白刺繍糸,しまむら,合格,,,
Q2726004726,2026-04-01,2026-04-03,?庄超越&#38024;&#32455;制衣有限公司,キッズカジュアル,,キッズカジュアル,RT636QZ ,coleman×さえさんOE天竺ロンパース,14製品、26製品、白肩テープ、赤刺繍,しまむら,合格,合格,,
61026006926,2026-04-01,2026-04-03,?家港市佳怡&#31166;服&#39280;有限公司,岡山,,田中,A4632PR ,ショートパンツ,製品、オフ白刺繍、ブルーグレー刺繍,しまむら,合格,合格,,
61026006996,2026-04-01,2026-04-03,祥安服装如&#19996;有限公司,岡山,,平松,BW6B58Z/BW6B68Z/CG-48MC/CG-52MC ,,グリーン、ターコ、ピンク,しまむら,合格,,,
Q2726004768,2026-04-01,2026-04-03,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,6663ZYR ,パジャマ,13製品、15本体、15製品、65製品、白シックテープ、紺リブ、赤×紺
ワッペン、ブラウンリブ、ブルーリブ、ベージュ
バインダー,しまむら,合格,合格,,
61026007133,2026-04-01,2026-04-03,如皋帝晨服&#39280;有限公司,岡山,,,6663Y9R ,coleman C100ワッフル半袖上下(パジャマ),製品,しまむら,,合格,,
61026007132,2026-04-01,2026-04-03,如皋帝晨服&#39280;有限公司,岡山,,,6663Z9R ,パジャマ,65ブルー,しまむら,,合格,,
Q1726000044,2026-04-01,2026-04-03,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8630BR ,巻きタオル,63,しまむら,,合格,,
61026006979,2026-04-01,2026-04-03,祥安服装如&#19996;有限公司,岡山,,平松,1Z627ER ,アームカバー,N9ブラック,しまむら,,合格,,
61026006968,2026-04-01,2026-04-03,祥安服装如&#19996;有限公司,岡山,,平松,B26319R/KH6329R  CNB6161 ,生地(サンリオ×ヒヤロンボクサー/サンリオ×ヒヤロンステテコ),03ピンク、65ブルー、83パープル、N9ブラック,しまむら,合格,,,
61026006983,2026-04-01,2026-04-02,如皋帝晨服&#39280;有限公司,岡山,,伊藤,2163A8A  216398A  216388A  GNE-670M GNE-670R ,,N9ブラック本体、N9ブラックリブ、ブラック背首テープ、ブラックスピンドル紐,しまむら,合格,,,
61526007061,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,RT632KZ ,ロンパース,N2オートミール、N9ブラック、イエロー+アカ+グリーンワッペン、シロ刺繍、ブラック刺繍,しまむら,合格,合格,,
61026006998,2026-04-01,2026-04-03,祥安服装如&#19996;有限公司,岡山,,平松,1Z626ER ,アームカバー,N9ブラック,しまむら,,合格,,
61526006844,2026-04-01,2026-04-08,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5630BR/E5631BR ,生地(Tシャツ),10オフホワイトPT、10オフホワイトリブ、63サックス無地、63サックスリブ,しまむら,合格,,,
61526006846,2026-04-01,2026-04-08,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E4634DR/E5637DR ,生地(ショートパンツ+半袖Tシャツ),03ピンク、N9ブラック,しまむら,合格,,,
61526006831,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田 ,X5630RA ,丸首半袖T,N9ブラック天竺、N9ブラック本体、N9ブラックリブ、製品N9ブラック,しまむら,合格,合格,,
61526006848,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E2633DR/E4633DR ,生地(ショートパンツ/半袖Tシャツ),10オフホワイト本体、10オフホワイトリブ、63サックス本体、82ラベンダー本体(E2633DR)、82ラベンダー本体(E4633DR)、N9ブラック本体,しまむら,合格,,,
61526006854,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5635YR ,,N9ブラック本体、N9ブラックリブ、製品,しまむら,合格,合格,,
61526006825,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田,X4630RA ,ハーフパンツ,N9ブラック本体、製品,しまむら,合格,合格,,
61526006811,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田,C5630VA ,半袖Tシャツ,N9ブラック本体、N9ブラックリブ、製品、ピンク刺繍、ブラック×ホワイトニットテープ,しまむら,合格,合格,,
61526006810,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5630WZ ,Tシャツ,13アイボリー、63サックス,しまむら,,合格,,
61526006663,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,RT631KZ ,ロンパース,57カーキ、N9ブラック,しまむら,,合格,,
61526006813,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田,C5631VA ,半袖Tシャツ,N9A ブラック、N9A ブラック本体、N9A ブラックリブ、ブラック×ホワイトニットテープ,しまむら,合格,合格,,
61526006823,2026-04-01,2026-04-08,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,R5630WZ ,,05レッド、35イエロー、65ブルー、茶刺繍糸★、イエロー用前身布帛pt、ブルー用前身布帛pt、レッド用前身布帛pt,しまむら,合格,合格,,
61526006820,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5636YR ,,N7チャコール本体、N7チャコールリブ、製品,しまむら,合格,合格,,
61526006815,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,和田,C5632VA ,半袖Tシャツ,N9ブラック本体、N9ブラックリブ、製品、ブラック×ホワイトニットテープ,しまむら,合格,合格,,
61526006861,2026-04-01,2026-04-03,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5638YR ,生地(半袖Tシャツ),52ターコイズ1×1スパンフライスリブ、52ターコイズ接触冷感Eメッシュ,しまむら,合格,,,
61526006852,2026-04-01,2026-04-07,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E4635DR ,生地(ショートパンツ),63サックス、82ラベンダー,しまむら,合格,,,
Q2726004701,2026-04-01,2026-04-07,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,6J637UR ,枕,63枕、63カバー、白がわ地,しまむら,,合格,,
Q2726004702,2026-04-01,2026-04-03,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,6X637UR ,冷感ケット,63製品、アイボリー裏地,しまむら,合格,合格,,
Q2726004690,2026-04-01,2026-04-03,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A4632ZR ,Phiten ロングP,N9本体、N9製品、白シックテープ、ネイビー紐、ブラック×白
テープ、ブラック紐,しまむら,合格,合格,,
61526006865,2026-04-01,2026-04-07,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5635UR  E5636UR  E5633UR  E5634UR ,生地(丸首半袖T),05レッド、35イエロー、52ターコイズ、63サックス、N8クロ,しまむら,合格,,,
Q2726004703,2026-04-01,2026-04-03,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,6P637UR ,敷きパッド,13製品、白裏地,しまむら,,合格,,
Q2726004704,2026-04-01,2026-04-03,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8630BZ ,巻きタオル,63,しまむら,,合格,,
Q2726004708,2026-04-01,2026-04-03,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8630YR ,巻きタオル,N0,しまむら,,合格,,
Q2726004709,2026-04-01,2026-04-07,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9L620ER ,ハーフトップ+ショーツ,67ショーツ、67ハーフトップ、N9本体、N9ショーツ、N9ハーフトップ、紺×白ゴム、紺下バインダー、黒×白ゴム、グレー刺繍、グレーテープ、ブラウン刺繍、ブラウンテープ,しまむら,合格,合格,,
Q2726004707,2026-04-01,2026-04-03,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8531YR ,巻きタオル,N9ブラック,しまむら,,合格,,
Q2726004706,2026-04-01,2026-04-03,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8630YZ ,巻きタオル,N9,しまむら,,合格,,
Q2726004705,2026-04-01,2026-04-03,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8631YZ ,巻きタオル,55グリーン,しまむら,,合格,,
Q2726004688,2026-04-01,2026-04-03,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A563CZR ,Phiten　半袖T,N9天テープ、N9本体,しまむら,合格,合格,,
Q2726004681,2026-04-01,2026-04-03,伊藤忠??&#36152;易(中国)有限公司青&#23707;分公司,レディ－スカジュアル,,レディ-スカジュアル,DA6313R(CA13036H) ,【ラクっとキレイ】エアジップテーパードL70,N9,しまむら,,合格,,
Q2726004679,2026-04-01,2026-04-03,青&#23707;屹??工&#36152;有限?任公司,レディ－スカジュアル,,レディ-スカジュアル,HY2004G ,ヒヤロンTRツイルワイドパンツ,N7,しまむら,,合格,,
Q2726004683,2026-04-01,2026-04-03,伊藤忠??&#36152;易(中国)有限公司青&#23707;分公司,レディ－スカジュアル,,レディ-スカジュアル,DB6313R(CA13036H) ,【ラクっとキレイ】クイックパンツストレートL73,,しまむら,,合格,,
Q2726004685,2026-04-01,2026-04-03,伊藤忠??&#36152;易(中国)有限公司青&#23707;分公司,レディ－スカジュアル,,レディ-スカジュアル,DC6313R(CA13036H) ,【ラクっとキレイ】ビーフィットパンツストレート L70,N9,しまむら,,合格,,
61026006849,2026-03-31,2026-04-02,?家港市佳怡&#31166;服&#39280;有限公司,岡山,,田中,A4638ER ,ショートパンツ,N9ブラック本体、製品,しまむら,合格,合格,,
50125006460,2026-03-31,2026-04-01,株式会社カイタックファミリー,婦人シャツナイティ部,,田中,[5BN241R]AF2629(製品品番：306211R) ,パジャマ,03ピンク,しまむら,合格,,,
Q2726004466,2026-03-31,2026-04-02,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,406418R ,婦人パジャマ,N8上衣本体、N8製品、白シックテープ,しまむら,合格,合格,,
Q2726004482,2026-03-31,2026-04-02,山&#19996;省&#28493;坊市&#36827;出口有限公司,子供ナイティー,,子供ナイティー,66634AR ,パジャマ,N9製品、白シックテープ、黒本体、黒リブ,しまむら,合格,合格,,
61526006215,2026-03-31,2026-04-02,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,G5630JR ,,製品、アイボリー裾ゴム、ネイビー背刺繍アップリケ、ネイビー袖テープ、ブラック左胸刺繍,しまむら,合格,合格,,
Q2726004629,2026-03-31,2026-04-02,山&#19996;省&#28493;坊市&#36827;出口有限公司,子供ナイティー,,子供ナイティー,61631JR ,パジャマ,63製品、白シックテープ,しまむら,,合格,,
61026006222,2026-03-31,2026-04-02,南通?川服飾有限公司,,,,G5633MZ ,,製品、ドジャース(サックス用)刺繍、パドレス(オレンジ用)刺繍、ヤンキース(グレー用)刺繍,しまむら,合格,合格,,
61026006175,2026-03-31,2026-04-02,南通?川服飾有限公司,,,,F5638MZ ,半袖T,39マスタード本体、39マスタードリブ、製品,しまむら,合格,合格,,
Q2726004592,2026-03-31,2026-04-02,高密市明&#35802;服&#39280;有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9H624QR ,スタンダードショーツ,黒×白ゴム、黒&#9312;製品、黒&#9313;製品、黒本体、グレー製品,しまむら,合格,合格,,
Q2726004676,2026-03-31,2026-04-02,大?万林&#36827;出口有限公司（大?佳林）（大?裕森）服装有限公司,メンズカジュアル,,メンズカジュアル,ME1502X(XM1030) ,MEIイージーパンツ,N8C製品、黒腰紐、ブルー腰紐,しまむら,合格,合格,,
Q2726004652,2026-03-31,2026-04-02,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9L6214R ,ハーフトップ+ショーツ,N3ショーツ、N3ハーフトップ、N9ショーツ、N9ハーフトップ、白×黒ゴム、黒本体、黒肩ゴム、黒テープ、グレー
下バインダー、グレー肩ゴム、グレーテープ,しまむら,合格,合格,,
Q2726004649,2026-03-31,2026-04-02,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8530LR ,巻きタオル,05,しまむら,,合格,,
Q2726004650,2026-03-31,2026-04-02,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9L6204R ,ハーフトップ+ショーツ,10ショーツ、10ハーフトップ、N9ショーツ、N9ハーフトップ、白カップ下
パイピング、白テープ、白フックアイ、黒×白
裾ゴム、黒本体、黒テープ、グレー
テープ、グレー肩ゴム,しまむら,合格,合格,,
Q2726004590,2026-03-30,2026-04-01,高密市明&#35802;服&#39280;有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9H622QR ,スタンダードショーツ,黒×白ゴム、黒&#9312;製品、黒&#9313;製品、黒本体、グレー製品,しまむら,合格,合格,,
Q2726004580,2026-03-30,2026-04-02,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A4628RR ,RB4WAYロングP,N9製品、白シックテープ、黒本体、黒スピンドル、チャコール
ゴム、チャコール
スピンドル、ベージュ
ゴム、ベージュゴム,しまむら,合格,合格,,
61526006669,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5632KZ ,,N2オートミール、N9ブラック、イエロー+グリーン+アカワッペン、シロ刺繍、ブラック刺繍,しまむら,合格,合格,,
Q2726004476,2026-03-30,2026-04-03,青&#23707;吉利基&#19994;&#36152;易公司,紳士ナイティー,,紳士ナイティー,126400R/126410R/126420R/126430R/126440R/126450R/126460R/126470R ,パジャマ,67COFFEE柄、67くじら柄、67木柄、67キウイフルーツ柄、67スイカ柄、67バナナ柄、67ビール柄、67レモン柄,しまむら,合格,,,
Q2726004513,2026-03-30,2026-04-01,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),レディ－スカジュアル,,レディ-スカジュアル,Y5639RR ,婦人シャツ,N9ブラック本体、N9ブラック衿部分、N9ブラック製品,しまむら,合格,合格,,
Q2726004516,2026-03-30,2026-04-01,高密亨利制衣有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9H621HR ,ボクサーショーツ,03製品、N3製品、N9製品、N9身生地,しまむら,合格,合格,,
Q2726004574,2026-03-30,2026-04-01,青&#23707;依美&#26102;尚国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A4624PR ,ロングパンツ,N9本体、白刺繍、白シックテープ,しまむら,合格,合格,,
61526006608,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5631YZ ,,製品、チャコールリブ,しまむら,合格,合格,,
Q2726004480,2026-03-30,2026-04-01,山&#19996;省&#28493;坊市&#36827;出口有限公司,子供ナイティー,,子供ナイティー,61630AR ,パジャマ,63サックス製品、白シックテープ,しまむら,,合格,,
Q2726004578,2026-03-30,2026-04-01,青&#23707;朗和国&#38469;&#36152;易有限公司,レディ－スカジュアル,,レディ-スカジュアル,A4636ER ,ODハーフP,N9本体、N9製品、白シックテープ、ピンク紐、ミント紐,しまむら,合格,合格,,
61526006615,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5631BZ ,,製品,しまむら,,合格,,
61526006671,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,F5631KZ ,半袖Tシャツ,10オフホワイト、57カーキ、N9ブラック,しまむら,,合格,,
Q2726004594,2026-03-30,2026-04-01,高密市明&#35802;服&#39280;有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9H620QR ,スタンダードショーツ,黒×白製品、黒×白ゴム、黒×赤製品、黒身生地、ピンク製品,しまむら,合格,合格,,
Q2726004588,2026-03-30,2026-04-01,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9L629RR ,ハーフトップ+ショーツ,63肩ゴム、63クロッチ、63ゴム、63ショーツ、63テープ、63ハーフトップ、N9本体、N9肩ゴム、N9クロッチ、N9ゴム、N9ショーツ、N9テープ、N9ハーフトップ,しまむら,合格,合格,,
Q2726004622,2026-03-30,2026-04-02,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,76642KR/76643RR/766440R ,パジャマ,13-5、14-1、63-3、67A、82-1,しまむら,合格,,,
Q2726004288,2026-03-30,2026-04-01,山&#19996;省&#28493;坊市&#36827;出口有限公司,婦人ナイティー,,婦人ナイティー,406408R ,パジャマ,83製品、白シックテープ,しまむら,,合格,,
Q2726003850,2026-03-30,2026-04-01,山&#19996;省&#28493;坊市&#36827;出口有限公司,子供ナイティー,,子供ナイティー,61630AR/66634AR ,パジャマ,63本体、N3A本体、N9本体、N9リブ,しまむら,合格,,,
Q2726004669,2026-03-30,2026-04-02,?庄超越&#38024;&#32455;制衣有限公司,キッズカジュアル,,キッズカジュアル,RT638QZ ,Coleman×さえさんOE天竺　ロンパース,03ピンク製品、66ブルーグレー製品、白肩綾テープ,しまむら,,合格,,
Q2726004667,2026-03-30,2026-04-01,青&#23707;天一泰和国&#38469;&#36152;易有限公司(天森豪?票)普票EXL,レディ－スカジュアル,,レディ-スカジュアル,Y5630GR ,半袖Tシャツ,N7本体、N7製品、白刺繍、黒刺繍、チャコールリブ,しまむら,合格,合格,,
Q2726004619,2026-03-30,2026-04-02,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),子供ナイティー,,子供ナイティー,7663VVR ,パジャマ,83製品、N9製品、白シックテープ、黒本体、黒リブ、パープルリブ,しまむら,合格,合格,,
Q2726004608,2026-03-30,2026-04-01,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8630YZ/E8631YZ/E8630BZ ,巻きタオル,55、N0、N9、白テープ,しまむら,合格,,,
Q2726004598,2026-03-30,2026-04-01,高密市明&#35802;服&#39280;有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9H620MR ,スタンダードショーツ,黒×白ゴム、黒本体、黒製品、グレー製品、サックス製品,しまむら,合格,合格,,
Q2726004605,2026-03-30,2026-03-31,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9L6204R/9L6214R/9L620ER/9K623QR/9K624QR/9N620QR/9N621QR/9K620DR/9L62NRA ,生地,白パワーネット、白マーキZ、黒TCバイヤス、黒パワーネット、黒マーキZ、ベージュ
TCバイヤス,しまむら,合格,,,
Q2726004603,2026-03-30,2026-04-02,大?&#39536;毅服&#39280;科技&#21457;展有限公司,アンダーウェア,,婦人アンダーウェア　笹田,9K622HR ,婦人ハーフブラ,N7製品、N9製品、黒下パイピング、チャコール
下パイピング,しまむら,合格,合格,,
61526006576,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5632BZ ,Tシャツ,52ターコイズ,しまむら,,合格,,
61526006574,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5632YZ ,半袖Tシャツ,N9ブラック、N9ブラックリブ,しまむら,合格,合格,,
61026006799,2026-03-30,2026-04-01,祥安服装如&#19996;有限公司,岡山,,平松,B2635FQ  B2622FQ  B2623FQ  CNB6132  CNB6145 ,,05レッド、15ブラウン、55グリーン、65ブルー、83パープル、N9ブラック,しまむら,合格,,,
61526006578,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5631LZ ,Tシャツ,65ブルーリブ、製品,しまむら,合格,合格,,
61026006463,2026-03-30,2026-03-31,南通?川服飾有限公司,,,,E4620MR ,ストレートパンツ,15ブラウン、15ブラウン本体、39マスタード、52ターコイズ、ターコイズ刺繍、パープル刺繍、ラベンダー刺繍,しまむら,合格,合格,,
61026006465,2026-03-30,2026-03-31,南通?川服飾有限公司,,,,E1620MR ,ジップジャケット,15ブラウン、15ブラウン本体、39マスタード、52ターコイズ、ターコイズ刺繍、パープル刺繍、ラベンダー刺繍,しまむら,合格,合格,,
61026006773,2026-03-30,2026-04-01,祥安服装如&#19996;有限公司,岡山,,平松,B26348Q ,APEX 紳士1Pボクサーブリーフ,55グリーンゴム、N9ブラック本体、N9ブラックゴム、製品,しまむら,合格,合格,,
61026006694,2026-03-30,2026-03-30,祥安服装如&#19996;有限公司,岡山,,平松,KH6329R  CG-4GH ,,ブラック,しまむら,合格,,,
61026006703,2026-03-30,2026-04-01,祥安服装如&#19996;有限公司,岡山,,平松,B26338Q ,サンリオ 紳士エステルベア天ボクサー1P,A 03ピンク、B N9ブラック、ブラックゴム,しまむら,合格,合格,,
61026006759,2026-03-30,2026-04-01,上海星雅服&#39280;有限公司,岡山,,西堀,C5630WA  ,,製品,しまむら,,合格,,
61026006757,2026-03-30,2026-04-01,南通?川服飾有限公司,,,,R563CPZ ,生地(半袖Tシャツ),10オフホワイト天竺、10オフホワイトリブ、63サックス天竺、63サックスリブ、A49オフホワイトテープ、B20サックステープ,しまむら,合格,,,
61026006742,2026-03-30,2026-04-01,上海星雅服&#39280;有限公司,岡山,,西堀,C5631WA ,,製品、クロ刺繍,しまむら,合格,合格,,
61526006602,2026-03-30,2026-04-01,上海&#39134;&#39532;&#36827;出口有限公司,岡山,,飼田,E5630BZ ,Tシャツ,25オレンジ、25オレンジリブ,しまむら,合格,合格,,
Q2726004534,2026-03-30,2026-04-02,青&#23707;&#21326;杉&#36152;易有限公司,ジーンズカジュアル,,ジーンズカジュアル,DM6380R/DD6380R(LD210194G) ,生地,69、N9,しまむら,合格,,,
Q2726004520,2026-03-30,2026-04-02,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9M62AHR/9M629HR ,生地,03身生地、03レース、10身生地、10レース、N9身生地、N9レース,しまむら,合格,,,
Q2726004518,2026-03-30,2026-04-01,Grand Concord Garment(Hong Kong) Limited&#35832;城裕泰&#38024;&#32455;有限公司（广豪）,アンダーウェア,,婦人アンダーウェア　笹田,9N622VR/9N623VR/9M624VR/9M625VR/9M626VR/9M627VR/9T621DR/9T622DR/9B623DR/9B624DR ,生地,03、10、13、N9,しまむら,合格,,,
Q2726004643,2026-03-30,2026-04-01,ニシオ株式会社,ライフグッズ,,ライフグッズ,E8630YR(60cm)E8630YR(80cm)E8531YR(60cm)E8531YR(80cm)E8530LR(60cm)E8630BR(60cm) ,巻きタオル,黒×緑、黒×グレー、ピンク×
ライトブルー、ブルー,しまむら,合格,,,
Q2726004570,2026-03-30,2026-04-01,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),レディ－スカジュアル,,レディ-スカジュアル,Y5638WA ,Tシャツ,N0A,しまむら,,合格,,
50125006272,2026-03-30,2026-04-01,株式会社カイタックファミリー,戦略開発課,,川棚,306201R ,クロッシーP日本製さざ波ガーゼ格子柄シャツ(パジャマ),03ピンク、83パープル、パイピング/シロ,しまむら,合格,合格,,
50125006242,2026-03-30,2026-04-01,株式会社カイタックファミリー,戦略開発課,,長崎,306211R ,パジャマ,03ピンク、パイピング,しまむら,合格,合格,,
Q2726004561,2026-03-30,2026-04-02,青&#23707;天一泰和国&#38469;&#36152;易有限公司(天森豪?票)普票EXL,レディ－スカジュアル,,レディ-スカジュアル,Y5636WR ,半袖Tシャツ,N9本体、N9製品、ブラックリブ,しまむら,合格,合格,,
Q2726004538,2026-03-30,2026-04-01,青&#23707;&#31166;金源&#32463;&#36152;有限公司（??&#21326;源）(青&#23707;恒新山),メンズカジュアル,,メンズカジュアル,Z5630GR/Z5631GR/Z5632GR ,生地,N0本体、N0総柄本体、N0リブ、N9本体、N9リブ,しまむら,合格,,,
